"agency","borough","problem","incident_zip","day_of_week","hour_of_day","same_day_complaint_volume","days_to_close"
"DCWP","STATEN ISLAND","Consumer Complaint","10309","6","9","17","31"
"DCWP","QUEENS","Consumer Complaint","11418","6","13","17","1"
"DCWP","BROOKLYN","Consumer Complaint","11203","6","22","17","45"
"DCWP","BROOKLYN","Consumer Complaint","11233","6","12","17","1"
"DCWP","MANHATTAN","Consumer Complaint","10019","6","11","17","31"
"DCWP","BRONX","Consumer Complaint","10456","6","16","17","1"
"DCWP","BRONX","Consumer Complaint","10451","6","21","17","1"
"DCWP","QUEENS","Consumer Complaint","11101","6","14","17","32"
"DCWP","QUEENS","Consumer Complaint","11358","6","16","17","1"
"DCWP","BROOKLYN","Consumer Complaint","11220","6","9","17","3"
"DCWP","QUEENS","Consumer Complaint","11432","6","11","17","1"
"DCWP","MANHATTAN","Consumer Complaint","10002","6","16","17","32"
"DCWP","BROOKLYN","Consumer Complaint","11226","6","15","17","33"
"DCWP","QUEENS","Consumer Complaint","11373","6","12","17","1"
"DCWP","MANHATTAN","Consumer Complaint","10280","6","12","17","31"
"DCWP","BROOKLYN","Consumer Complaint","11237","6","16","17","31"
"DCWP","BROOKLYN","Consumer Complaint","11220","6","16","17","31"
"DCWP","BRONX","Consumer Complaint","10454","7","17","12","30"
"DCWP","BRONX","Consumer Complaint","10459","7","10","12","30"
"DCWP","QUEENS","Consumer Complaint","11420","7","17","12","0"
"DCWP","BROOKLYN","Consumer Complaint","11208","7","9","12","30"
"DCWP","BROOKLYN","Consumer Complaint","11201","7","14","12","30"
"DCWP","QUEENS","Consumer Complaint","11420","7","0","12","1"
"DCWP","QUEENS","Consumer Complaint","11373","7","14","12","3"
"DCWP","MANHATTAN","Consumer Complaint","10012","7","22","12","3"
"DCWP","QUEENS","Consumer Complaint","11354","7","20","12","30"
"DCWP","BROOKLYN","Consumer Complaint","11211","7","10","12","30"
"DCWP","BROOKLYN","Consumer Complaint","11222","7","12","12","1"
"DCWP","BROOKLYN","Consumer Complaint","11238","7","17","12","30"
"DCWP","BROOKLYN","Consumer Complaint","11238","1","14","16","0"
"DCWP","QUEENS","Consumer Complaint","11367","1","16","16","0"
"DCWP","QUEENS","Consumer Complaint","11358","1","18","16","0"
"DCWP","BROOKLYN","Consumer Complaint","11212","1","16","16","0"
"DCWP","QUEENS","Consumer Complaint","11385","1","11","16","30"
"DCWP","QUEENS","Consumer Complaint","11372","1","19","16","10"
"DCWP","BROOKLYN","Consumer Complaint","11236","1","11","16","3"
"DCWP","MANHATTAN","Consumer Complaint","10005","1","18","16","2"
"DCWP","MANHATTAN","Consumer Complaint","10036","1","11","16","30"
"DCWP","MANHATTAN","Consumer Complaint","10033","1","14","16","0"
"DCWP","BROOKLYN","Consumer Complaint","11224","1","16","16","2"
"DCWP","BROOKLYN","Consumer Complaint","11221","1","14","16","4"
"DCWP","BROOKLYN","Consumer Complaint","11215","1","21","16","0"
"DCWP","STATEN ISLAND","Consumer Complaint","10306","1","21","16","0"
"DCWP","BRONX","Consumer Complaint","10455","1","14","16","0"
"DCWP","MANHATTAN","Consumer Complaint","10016","1","15","16","2"
"DCWP","QUEENS","Consumer Complaint","11106","3","18","14","30"
"DCWP","BROOKLYN","Consumer Complaint","11208","3","7","14","1"
"DCWP","QUEENS","Consumer Complaint","11374","3","9","14","30"
"DCWP","MANHATTAN","Consumer Complaint","10027","3","22","14","0"
"DCWP","BROOKLYN","Consumer Complaint","11214","3","19","14","0"
"DCWP","QUEENS","Consumer Complaint","11362","3","14","14","0"
"DCWP","STATEN ISLAND","Consumer Complaint","10306","3","13","14","2"
"DCWP","BRONX","Consumer Complaint","10459","3","15","14","30"
"DCWP","QUEENS","Consumer Complaint","11420","3","11","14","0"
"DCWP","QUEENS","Consumer Complaint","11385","3","12","14","31"
"DCWP","MANHATTAN","Consumer Complaint","10003","3","8","14","7"
"DCWP","BROOKLYN","Consumer Complaint","11230","3","13","14","30"
"DCWP","BROOKLYN","Consumer Complaint","11235","3","16","14","30"
"DCWP","QUEENS","Consumer Complaint","","3","11","14","7"
"DCWP","BRONX","Consumer Complaint","10473","5","12","20","32"
"DCWP","BROOKLYN","Consumer Complaint","11201","5","15","20","2"
"DCWP","QUEENS","Consumer Complaint","11101","5","10","20","32"
"DCWP","BROOKLYN","Consumer Complaint","11233","5","14","20","32"
"DCWP","BROOKLYN","Consumer Complaint","11209","5","11","20","32"
"DCWP","BROOKLYN","Consumer Complaint","11206","5","14","20","2"
"DCWP","BROOKLYN","Consumer Complaint","11212","5","17","20","2"
"DCWP","BROOKLYN","Consumer Complaint","11236","5","18","20","32"
"DCWP","BROOKLYN","Consumer Complaint","11238","5","11","20","3"
"DCWP","MANHATTAN","Consumer Complaint","10026","5","6","20","25"
"DCWP","BRONX","Consumer Complaint","10461","5","13","20","32"
"DCWP","QUEENS","Consumer Complaint","11420","5","3","20","3"
"DCWP","MANHATTAN","Consumer Complaint","10030","5","0","20","6"
"DCWP","BRONX","Consumer Complaint","10458","5","17","20","2"
"DCWP","QUEENS","Consumer Complaint","11355","5","12","20","2"
"DCWP","MANHATTAN","Consumer Complaint","10017","5","5","20","3"
"DCWP","MANHATTAN","Consumer Complaint","10017","5","23","20","2"
"DCWP","BRONX","Consumer Complaint","10451","5","13","20","32"
"DCWP","BRONX","Consumer Complaint","10452","5","7","20","3"
"DCWP","BROOKLYN","Consumer Complaint","11223","5","20","20","32"
"DCWP","QUEENS","Consumer Complaint","11432","6","16","13","30"
"DCWP","BROOKLYN","Consumer Complaint","11214","6","8","13","31"
"DCWP","BROOKLYN","Consumer Complaint","11234","6","15","13","31"
"DCWP","BROOKLYN","Consumer Complaint","11229","6","16","13","11"
"DCWP","QUEENS","Consumer Complaint","11432","6","11","13","11"
"DCWP","BROOKLYN","Consumer Complaint","11220","6","9","13","3"
"DCWP","BROOKLYN","Consumer Complaint","11236","6","10","13","31"
"DCWP","BRONX","Consumer Complaint","10467","6","14","13","1"
"DCWP","MANHATTAN","Consumer Complaint","10012","6","22","13","1"
"DCWP","QUEENS","Consumer Complaint","11101","6","20","13","32"
"DCWP","QUEENS","Consumer Complaint","11432","6","15","13","31"
"DCWP","MANHATTAN","Consumer Complaint","10009","6","18","13","2"
"DCWP","MANHATTAN","Consumer Complaint","10019","6","20","13","31"
"DCWP","BROOKLYN","Consumer Complaint","11232","7","14","15","30"
"DCWP","QUEENS","Consumer Complaint","11419","7","16","15","30"
"DCWP","BROOKLYN","Consumer Complaint","11235","7","7","15","1"
"DCWP","MANHATTAN","Consumer Complaint","10018","7","20","15","30"
"DCWP","BROOKLYN","Consumer Complaint","11208","7","18","15","28"
"DCWP","QUEENS","Consumer Complaint","11419","7","13","15","1"
"DCWP","MANHATTAN","Consumer Complaint","10018","7","10","15","1"
"DCWP","BROOKLYN","Consumer Complaint","11212","7","18","15","0"
"DCWP","MANHATTAN","Consumer Complaint","10007","7","8","15","30"
"DCWP","QUEENS","Consumer Complaint","11420","7","5","15","3"
"DCWP","MANHATTAN","Consumer Complaint","10028","7","18","15","0"
"DCWP","BROOKLYN","Consumer Complaint","11234","7","16","15","0"
"DCWP","BRONX","Consumer Complaint","10469","7","20","15","30"
"DCWP","MANHATTAN","Consumer Complaint","10028","7","18","15","0"
"DCWP","BROOKLYN","Consumer Complaint","11207","7","17","15","0"
"DCWP","BRONX","Consumer Complaint","10453","1","14","22","9"
"DCWP","STATEN ISLAND","Consumer Complaint","10301","1","0","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11236","1","10","22","30"
"DCWP","QUEENS","Consumer Complaint","11377","1","22","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11215","1","17","22","30"
"DCWP","MANHATTAN","Consumer Complaint","10033","1","9","22","30"
"DCWP","MANHATTAN","Consumer Complaint","10065","1","18","22","0"
"DCWP","QUEENS","Consumer Complaint","11356","1","9","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11231","1","22","22","0"
"DCWP","MANHATTAN","Consumer Complaint","10017","1","0","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11231","1","12","22","30"
"DCWP","BRONX","Consumer Complaint","10467","1","12","22","9"
"DCWP","QUEENS","Consumer Complaint","11415","1","12","22","0"
"DCWP","MANHATTAN","Consumer Complaint","10022","1","17","22","0"
"DCWP","QUEENS","Consumer Complaint","11434","1","12","22","30"
"DCWP","QUEENS","Consumer Complaint","11377","1","8","22","30"
"DCWP","BRONX","Consumer Complaint","10469","1","13","22","38"
"DCWP","MANHATTAN","Consumer Complaint","10036","1","15","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11226","1","14","22","0"
"DCWP","BRONX","Consumer Complaint","10462","1","22","22","0"
"DCWP","BROOKLYN","Consumer Complaint","11236","1","16","22","30"
"DCWP","BROOKLYN","Consumer Complaint","11234","1","14","22","0"
"DCWP","QUEENS","Consumer Complaint","11361","3","11","17","0"
"DCWP","BRONX","Consumer Complaint","10466","3","8","17","30"
"DCWP","BRONX","Consumer Complaint","10451","3","21","17","0"
"DCWP","MANHATTAN","Consumer Complaint","10010","3","19","17","0"
"DCWP","BROOKLYN","Consumer Complaint","11213","3","10","17","1"
"DCWP","BROOKLYN","Consumer Complaint","11218","3","6","17","30"
"DCWP","BRONX","Consumer Complaint","10469","3","11","17","37"
"DCWP","QUEENS","Consumer Complaint","11365","3","9","17","0"
"DCWP","BRONX","Consumer Complaint","10458","3","18","17","12"
"DCWP","BROOKLYN","Consumer Complaint","11214","3","10","17","0"
"DCWP","BROOKLYN","Consumer Complaint","11231","3","17","17","30"
"DCWP","MANHATTAN","Consumer Complaint","10017","3","6","17","1"
"DCWP","QUEENS","Consumer Complaint","11355","3","7","17","1"
"DCWP","BROOKLYN","Consumer Complaint","11204","3","17","17","5"
"DCWP","MANHATTAN","Consumer Complaint","10065","3","21","17","30"
"DCWP","MANHATTAN","Consumer Complaint","10075","3","13","17","30"
"DCWP","QUEENS","Consumer Complaint","11694","3","21","17","0"
"DCWP","BRONX","Consumer Complaint","10456","4","11","17","30"
"DCWP","BRONX","Consumer Complaint","10453","4","19","17","0"
"DCWP","MANHATTAN","Consumer Complaint","10121","4","11","17","0"
"DCWP","MANHATTAN","Consumer Complaint","10019","4","10","17","30"
"DCWP","MANHATTAN","Consumer Complaint","10121","4","10","17","17"
"DCWP","BRONX","Consumer Complaint","11370","4","15","17","0"
"DCWP","QUEENS","Consumer Complaint","11435","4","21","17","30"
